id,clave,name,nacionalidad,designador_iata,linea_ferrea,clavetransporte_id/id
cfd_mx_traslado.cartaporte_estaciones_EA018,EA018,Lynden Pindling,Bahamas,NAS,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA019,EA019,San Salvador,Bahamas,ZSA,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA020,EA020,Grantley Adams,Barbados,BGI,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA021,EA021,Brussels,Bélgica,BRU,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA022,EA022,Liege,Bélgica,LGG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA023,EA023,Ostend-Brugge,Bélgica,OST,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA024,EA024,Philip S.W. Goldson,Belice,BZE,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA025,EA025,Jorge Wilsterman,Bolivia,CBB,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA026,EA026,El Trompillo,Bolivia,SRZ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA027,EA027,Viru Viru,Bolivia,VVI,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA028,EA028,Presidente Juscelino Kubitschek,Brasil,BSB,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA029,EA029,Adalberto Mendes Da Silva,Brasil,CAC,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA030,EA030,Carutapera,Brasil,CTP,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA031,EA031,Afonso Pena,Brasil,CWB,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA032,EA032,Pinto Martins,Brasil,FOR,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA033,EA033,Antonio Carlos Jobim,Brasil,GIG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA034,EA034,Governador Andre Franco Montoro,Brasil,GRU,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA035,EA035,Manaus,Brasil,MAO,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA036,EA036,Santos Dumont,Brasil,PNG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA037,EA037,Salgado Filho,Brasil,POA,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA038,EA038,Guararapes,Brasil,REC,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA039,EA039,Santos Dumont,Brasil,SDU,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA040,EA040,Professor Urbano Ernesto Stumpf,Brasil,SJK,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA041,EA041,Deputado Luis Eduardo Magalhaes,Brasil,SSA,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA042,EA042,Viracopos-Campinas,Brasil,VCP,,cartaporte_clavetransporte_03
