id,clave,name
cfd_mx_traslado.cartaporte_materialpeligroso_M0134,M0134,"MUNICIONES INCENDIARIAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0135,M0135,"MUNICIONES INCENDIARIAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0136,M0136,"MUNICIONES FUMÍGENAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0137,M0137,"MUNICIONES FUMÍGENAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0138,M0138,"MUNICIONES
INCENDIARIAScon líquido o gel, con carga dispersora, carga expulsora
o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0139,M0139,"DISPOSITIVOS ACTIVADOS POR EL AGUA, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0140,M0140,"DISPOSITIVOS ACTIVADOS POR EL AGUA, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0141,M0141,"MOTORES DE COHETE CON LÍQUIDOS HIPERGÓLICOS, con o sin carga expulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0142,M0142,"MUNICIONES ILUMINANTES con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0143,M0143,DETONADORES ELÉCTRICOS para voladuras (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0144,M0144,ESPOLETAS DETONANTES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0145,M0145,"OCTOLITA (OCTOL) seca o humedecida con menos del 15 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0146,M0146,DETONADORES NO ELÉCTRICOS para voladuras (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0147,M0147,MULTIPLICADORES CON DETONADOR (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0148,M0148,CARGAS PROPULSORAS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0149,M0149,CARGAS PROPULSORAS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0150,M0150,CARTUCHOS DE ACCIONAMIENTO (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0151,M0151,CARTUCHOS DE ACCIONAMIENTO (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0152,M0152,CARTUCHOS PARA POZOS DE PETRÓLEO (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0153,M0153,CARTUCHOS PARA POZOS DE PETRÓLEO (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0154,M0154,CARGAS PROPULSORAS DE ARTILLERÍA (Producto o material explosivo)
